innings,over,ball,legalBall,team_id,team_name,team_code,team_innings,team_short_name,bowler_id,bowler_full_name,bowler_short_name,bowler_bowling_arm,striker_id,striker_full_name,striker_short_name,striker_batting_arm,dismissedBatsman_id,how_out,how_out_description,dismissedBatsman_full_name,dismissedBatsman_short_name,byes,runs,wides,commentary,leg_byes,is_boundary,is_wicket,no_ball_runs,no_balls,shot_x,shot_y,total_runs,wide_runs,current_score,current_wickets,dismissedBatsman_batting_arm
1,0,1,1,60091,Melbourne Stars,MELS,1,Melbourne Stars,600973,Jason Behrendorff,J. Behrendorff,L,602623,Joe Clarke,J. Clarke,R,,,,,,0,0,0,"Behrendorff to Clarke, no run. Clarke pushes along the ground to mid-off where it's fielded by Lance Morris",0,False,False,0,0,-18.0,58.0,0,0,0,0,
1,0,2,2,60091,Melbourne Stars,MELS,1,Melbourne Stars,600973,Jason Behrendorff,J. Behrendorff,L,602623,Joe Clarke,J. Clarke,R,,,,,,0,0,0,"Behrendorff to Clarke, no run. Clarke attempts to drive but can't make contact with the ball",0,False,False,0,0,,,0,0,0,0,
1,0,3,3,60091,Melbourne Stars,MELS,1,Melbourne Stars,600973,Jason Behrendorff,J. Behrendorff,L,602623,Joe Clarke,J. Clarke,R,,,,,,0,0,0,"Behrendorff to Clarke, no run. Clarke gets caught on the crease and defends and is beaten",0,False,False,0,0,,,0,0,0,0,
1,0,4,4,60091,Melbourne Stars,MELS,1,Melbourne Stars,600973,Jason Behrendorff,J. Behrendorff,L,602623,Joe Clarke,J. Clarke,R,,,,,,0,0,0,"Behrendorff to Clarke, no run. Clarke lets it go to the keeper",0,False,False,0,0,,,0,0,0,0,
1,0,5,5,60091,Melbourne Stars,MELS,1,Melbourne Stars,600973,Jason Behrendorff,J. Behrendorff,L,602623,Joe Clarke,J. Clarke,R,,,,,,0,0,0,"Behrendorff to Clarke, no run. Clarke drives on the on-side along the ground back along the pitch where it's fielded by Jason Behrendorff",0,False,False,0,0,5.0,26.0,0,0,0,0,
1,0,6,6,60091,Melbourne Stars,MELS,1,Melbourne Stars,600973,Jason Behrendorff,J. Behrendorff,L,602623,Joe Clarke,J. Clarke,R,,,,,,0,0,0,"Behrendorff to Clarke, no run. Clarke lets it go to the keeper",0,False,False,0,0,,,0,0,0,0,
1,1,1,1,60091,Melbourne Stars,MELS,1,Melbourne Stars,603023,Jhye Richardson,J. Richardson,R,604847,Tom Rogers,T. Rogers,L,,,,,,0,0,0,"Richardson to Rogers, no run. Rogers off-drives to wide mid-off",0,False,False,0,0,24.0,62.0,0,0,0,0,
1,1,2,2,60091,Melbourne Stars,MELS,1,Melbourne Stars,603023,Jhye Richardson,J. Richardson,R,604847,Tom Rogers,T. Rogers,L,,,,,,0,0,0,"Richardson to Rogers, no run. Rogers works that off his pads along the ground to short fine leg where it's fielded by Jason Behrendorff",0,False,False,0,0,-26.0,-34.0,0,0,0,0,
1,1,3,3,60091,Melbourne Stars,MELS,1,Melbourne Stars,603023,Jhye Richardson,J. Richardson,R,604847,Tom Rogers,T. Rogers,L,,,,,,0,1,0,"Richardson to Rogers, 1 run. Rogers pushes off the back foot to square third man",0,False,False,0,0,93.0,-76.0,1,0,1,0,
1,1,4,4,60091,Melbourne Stars,MELS,1,Melbourne Stars,603023,Jhye Richardson,J. Richardson,R,602623,Joe Clarke,J. Clarke,R,,,,,,0,0,0,"Richardson to Clarke, no run. Clarke gets onto the front foot to a well directed delivery and defends and is beaten",0,False,False,0,0,,,0,0,1,0,
